true_values,predicted_values,difference
7.29,6.981939025832145,0.30806097416785505
6.06,6.8139522564474415,0.7539522564474419
3.59,4.981610808555366,1.3916108085553658
7.01,6.83645137720458,0.17354862279541994
7.5,6.851703817416199,0.6482961825838007
7.38,7.068653250104324,0.3113467498956757
6.0,6.278047628552856,0.2780476285528559
5.29,6.016817795433642,0.7268177954336421
7.1,6.740133511724047,0.35986648827595236
7.28,8.104883592799386,0.8248835927993854
4.11,4.412653648493583,0.30265364849358267
6.46,6.05825450220716,0.40174549779283986
6.27,6.213915574648428,0.05608442535157199
5.44,5.278662709077174,0.16133729092282678
7.22,7.0464218953438795,0.17357810465612022
6.23,6.33028538342958,0.10028538342957916
5.64,6.269802573744231,0.6298025737442314
6.77,6.934327545667044,0.1643275456670441
5.97,6.288098963454636,0.31809896345463606
7.94,7.234600052554645,0.705399947445355
5.35,5.905454751830055,0.5554547518300552
6.42,6.170280439472816,0.24971956052718358
6.77,6.699756133124951,0.07024386687504869
5.74,5.452683922992417,0.2873160770075831
7.35,7.096353175664303,0.2536468243356964
4.89,4.910381694340655,0.02038169434065562
5.26,6.183318516029677,0.9233185160296769
6.6,6.85895455385027,0.25895455385027066
5.75,5.119979231734914,0.6300207682650862
6.34,6.573150374930137,0.2331503749301369
8.45,8.386380474419767,0.06361952558023276
7.51,6.958446722644562,0.5515532773554375
5.64,6.234755202360954,0.5947552023609539
6.02,6.278293965130273,0.2582939651302736
7.33,6.243377989699898,1.0866220103001023
6.65,6.514634445832436,0.13536555416756446
6.32,5.558492184954126,0.7615078150458743
7.88,7.609323642440801,0.27067635755919905
6.49,6.332737842077083,0.15726215792291764
6.21,6.603669188848624,0.3936691888486239
6.36,6.784054999577218,0.4240549995772174
7.19,7.290424093882759,0.10042409388275875
6.8,6.385149899049392,0.41485010095060826
5.67,6.028337755432533,0.3583377554325331
5.99,4.389004880142183,1.6009951198578172
6.58,7.279518300275069,0.6995183002750691
5.23,5.50616309476599,0.2761630947659892
5.26,5.445912195508428,0.1859121955084282
7.43,7.475418840814038,0.045418840814038575
