Year,Adult Mortality,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 5-19 years,Income composition of resources,Schooling
7.603897969020386,4.882801930162128,-1.0216484697580617,5.599311182780952,4.189654757177941,5.393627550897816,3.9080150041109283,3.13549425940741,4.553876902126857,1.2119412715941162,4.553876902126857,-2.3025750930440454,8.150357631661718,17.158115227083496,2.49320553524732,-0.37687619353136664,2.5095993436791817
7.600902460042082,4.976733749317126,-1.3862903611278907,5.039908907455252,4.392730371564323,-13.815510557964274,3.7932394919607013,3.2188758648682,4.454347307881415,1.2499020227472462,4.454347307881415,-2.3025750930440454,7.471464375601463,14.952819704649123,2.557227388887003,-0.45255514331620694,2.3702438349258
7.608374474877062,5.814130534810141,1.5163899384369495,-13.815510557964274,4.189654757177941,4.770684632940241,3.148453403490109,3.8066625119925415,4.127134401174124,1.782720095474845,4.1588830989846715,0.09531108889482073,8.21495062736249,14.84009410210966,2.8033604415125937,-0.6329913745028001,2.4336134431197443
7.6048944813096275,5.916202065302853,1.955860621351187,5.521101640529874,4.2341065190900125,5.393627550897816,2.96010514772431,3.8066625119925415,4.174387285280252,1.3454726270162682,4.2341065190900125,0.09531108889482073,8.260642505147771,14.59297223219143,2.939161974975648,-0.7592848463146364,2.0918641851351754
7.603897969020386,5.942799377751373,1.7647309680729977,3.222345368634279,4.392730371564323,5.393627550897816,2.901421649027803,3.8066625119925415,4.127134401174124,1.5129272323175496,4.127134401174124,0.09531108889482073,5.569927791683747,14.631936312676249,2.970414516851751,-0.8232535880052322,1.974081164910889
7.603399340239423,5.945420611224376,1.617406280495956,4.586919166459758,4.392730371564323,5.393627550897816,2.873564696076957,3.8066625119925415,4.127134401174124,1.4109872176126714,4.127134401174124,0.09531108889482073,7.275166730794496,16.788615861518554,2.388762880978213,-0.8533135852976815,1.9169227592408737
7.602900462703757,5.9558373720555045,1.2612981542312842,2.182311539821958,4.392730371564323,3.367295864469232,2.8449094419589405,3.8066625119925415,4.127134401174124,1.549688120342529,4.127134401174124,0.09531108889482073,4.954900156329985,16.752856864543222,0.8329095577176182,-0.8794743491157878,1.856298146615614
7.608374474877062,2.5649494343846104,1.5163899384369495,-13.815510557964274,4.5951198602356,-13.815510557964274,3.864931418858656,-13.815510557964274,4.454347307881415,1.782720095474845,4.5951198602356,-1.6094329124466003,9.515392269344037,16.337608563285418,1.88706980054752,-0.24334498312233852,2.6318889120790896
7.607878073775032,4.875197330834739,2.147100306976074,7.151389511025543,4.5951198602356,-13.815510557964274,3.850147622986654,-13.815510557964274,4.564348201884503,1.7119946812645914,4.5951198602356,-1.6094329124466003,9.464074943756989,16.337608563285418,1.88706980054752,-0.24589925966526502,2.6318889120790896
7.607381426136563,4.890349135740551,2.1494340300499806,7.151389511025543,4.5951198602356,-13.815510557964274,3.8372994807839333,-13.815510557964274,4.584967488874653,1.6733514257949964,4.5951198602356,-1.6094329124466003,9.411227202706696,16.337608563285418,1.88706980054752,-0.24717884873353962,2.6318889120790896
7.606884531716648,4.897839807413598,2.101692272864037,7.151389511025543,4.584967488874653,-13.815510557964274,3.822098319781997,-13.815510557964274,4.574710988812661,1.6845455704496455,4.584967488874653,-1.6094329124466003,9.438705624130264,16.337608563285418,1.88706980054752,-0.25102746945752774,2.6246686646269244
7.6063873902699175,4.912654893088993,2.0592389619133287,7.151389511025543,4.5951198602356,-13.815510557964274,3.8088822686815815,-13.815510557964274,4.5951198602356,1.7316557221494844,4.5951198602356,-2.3025750930440454,9.386757021654162,16.337608563285418,1.88706980054752,-0.24589925966526502,2.646174868306106
7.605890001550634,4.927253692403581,2.0592389619133287,7.151389511025543,4.584967488874653,-13.815510557964274,3.7932394919607013,-13.815510557964274,4.5951198602356,1.7281096197714767,4.584967488874653,-2.3025750930440454,9.403179437114076,16.337608563285418,1.88706980054752,-0.24462130585294126,2.646174868306106
7.605392365312695,2.6390574010438272,2.0566846824344496,5.006351039770798,4.584967488874653,-13.815510557964274,3.7796338402134504,-13.815510557964274,4.584967488874653,1.5810386436736983,4.5951198602356,-2.3025750930440454,7.179663791100558,16.337608563285418,1.9021076756506405,-0.2382559200895301,2.6532420350297476
7.6048944813096275,4.955827064643514,2.112634629954577,5.197260192109891,4.584967488874653,-13.815510557964274,3.7658405183982127,-13.815510557964274,4.5951198602356,1.5454327956777816,4.5951198602356,-2.3025750930440454,7.295273114638368,16.337608563285418,1.9021076756506405,-0.24079721428910872,2.667228276026397
7.6043963492945945,4.969813306520445,2.156402698556698,5.552829854801603,4.574710988812661,-13.815510557964274,3.7518542767495027,-13.815510557964274,4.584967488874653,1.4516140614325432,4.5951198602356,-2.3025750930440454,9.56467319175217,16.337608563285418,1.9021076756506405,-0.24717884873353962,2.6741487183920434
7.603897969020386,4.976733749317126,2.1894165068704843,5.376734269162624,4.5951198602356,-13.815510557964274,3.7376696420928917,-13.815510557964274,4.5951198602356,1.4678745785270335,4.5951198602356,-2.3025750930440454,9.451276199498011,16.337608563285418,1.9169227592408737,-0.257474936734491,2.687847561811899
7.603399340239423,4.990432593581457,2.09801804995215,7.151389511025543,4.5951198602356,-13.815510557964274,3.7232809049858577,-13.815510557964274,4.584967488874653,1.4838749162160987,4.5951198602356,-2.3025750930440454,9.338904104395594,16.337608563285418,1.9315215565307395,-1.3167645671349584,1.686399138755397
7.602900462703757,5.003946312656868,1.9851309995712225,3.129517830251089,4.574710988812661,-13.815510557964274,1.568616126247157,-13.815510557964274,4.574710988812661,1.437462885223953,4.574710988812661,-2.3025750930440454,7.209959444304503,16.337608563285418,1.9315215565307395,-1.3167645671349584,1.686399138755397
7.6024013361650695,5.017279843437441,1.968510120637349,7.054506012330851,4.5951198602356,-13.815510557964274,1.4109872176126714,-13.815510557964274,4.5951198602356,1.5107221602454703,4.5951198602356,-2.3025750930440454,9.183978486927948,16.337608563285418,1.945910291912446,-1.3167645671349584,1.686399138755397
7.601901960374667,5.030437927928383,1.9754690899931033,6.8323931523207095,4.5951198602356,-13.815510557964274,3.6763006972235317,-13.815510557964274,4.532599503905944,1.4838749162160987,4.584967488874653,-2.3025750930440454,9.147050825531565,16.337608563285418,1.9600949248923303,-1.3167645671349584,1.686399138755397
7.601402335083484,5.036952608907136,2.016235598931827,5.098448952949486,4.564348201884503,-13.815510557964274,3.660994276331341,-13.815510557964274,4.5951198602356,1.4996232696411547,4.574710988812661,-2.3025750930440454,9.14400334521652,16.337608563285418,1.9600949248923303,-1.3167645671349584,1.686399138755397
7.600902460042082,5.049856013659793,1.9837564290970005,7.027973986868067,4.392730371564323,-13.815510557964274,3.64283554179054,-13.815510557964274,4.564348201884503,1.4182776491036626,4.553876902126857,-2.3025750930440454,9.197777968065578,16.337608563285418,1.9878744851406376,-1.3167645671349584,1.686399138755397
7.608374474877062,4.753590199727054,1.5163899384369495,-13.815510557964274,4.543294792908302,-13.815510557964274,4.13995508939772,2.1972246884473243,4.532599503905944,1.782720095474845,4.543294792908302,-2.3025750930440454,9.508006705472823,17.158115227083496,0.6418544124880456,-0.1911592948081388,2.8507065593072
7.607878073775032,4.770684632940241,2.0706531617501533,6.742139497183503,4.543294792908302,9.999994999180668e-07,4.130355015822304,2.1972246884473243,4.521788587918605,1.5665306201910694,4.543294792908302,-2.3025750930440454,9.412893912490766,17.158115227083496,0.6418544124880456,-0.1923706805269786,2.8507065593072
7.606884531716648,2.48490673312133,2.122261658623236,7.0331166411129535,4.510859517505861,0.6931476805598203,4.1108738805667535,2.3025851929940404,4.5951198602356,1.6486588178950556,4.510859517505861,-2.3025750930440454,9.470376636522664,15.273366920861415,0.6418544124880456,-0.196013667381685,2.8449094419589405
7.6063873902699175,2.48490673312133,2.093097991431876,7.151389511025543,4.510859517505861,1.0986126220013874,1.856298146615614,2.3025851929940404,4.532599503905944,1.7732561674427678,4.510859517505861,-2.3025750930440454,9.451479711470748,17.158115227083496,0.6418544124880456,-0.2033396985285849,2.839078521988145
